x,y,z,heading_angle,speed,curvature,longitude, latitude,altitude,attribute
247106.5425,3488503.449,13.708095,104.986667,0,0.001682,120.337296,31.503742,13.708095,0
247106.4957,3488503.645,13.709048,105.005714,0,0.001647,120.337295,31.503744,13.709048,0
247106.4489,3488503.841,13.71,105.024762,0,0.001652,120.337295,31.503745,13.71,0
247106.4021,3488504.036,13.710952,105.044286,0,0.001699,120.337294,31.503747,13.710952,0
247106.3554,3488504.23,13.711905,105.06381,0,0.001703,120.337294,31.503749,13.711905,0
247106.3088,3488504.424,13.712857,105.083333,0,0.00171,120.337293,31.503751,13.712857,0
247106.2623,3488504.617,13.71381,105.102857,0,0.001714,120.337292,31.503752,13.71381,0
247106.2159,3488504.81,13.714286,105.122381,0,0.001719,120.337292,31.503754,13.714286,0
247106.1694,3488505.002,13.714762,105.142381,0,0.001764,120.337291,31.503756,13.714762,0
247106.1231,3488505.194,13.715238,105.162857,0,0.001812,120.337291,31.503757,13.715238,0
247106.077,3488505.385,13.71619,105.182857,0,0.001773,120.33729,31.503759,13.71619,0
247106.0309,3488505.576,13.717143,105.203334,0,0.001821,120.33729,31.503761,13.717143,0
247105.9849,3488505.767,13.718095,105.22381,0,0.001824,120.337289,31.503763,13.718095,0
247105.9391,3488505.957,13.719048,105.244762,0,0.001873,120.337289,31.503764,13.719048,0
247105.8931,3488506.146,13.72,105.265715,0,0.001876,120.337288,31.503766,13.72,0
247105.8473,3488506.335,13.720952,105.287144,0,0.001924,120.337288,31.503768,13.720952,0
247105.8014,3488506.524,13.721905,105.308572,0,0.001926,120.337287,31.503769,13.721905,0
247105.7556,3488506.712,13.722857,105.330001,0,0.00193,120.337287,31.503771,13.722857,0
247105.7104,3488506.896,13.72381,105.351429,0,0.00197,120.337286,31.503773,13.72381,0
247105.6644,3488507.084,13.724762,105.372858,0,0.001936,120.337286,31.503774,13.724762,0
247105.6192,3488507.268,13.725238,105.394762,0,0.002021,120.337285,31.503776,13.725238,0
247105.5733,3488507.455,13.725714,105.417143,0,0.00203,120.337285,31.503778,13.725714,0
247105.528,3488507.637,13.72619,105.439524,0,0.002072,120.337284,31.503779,13.72619,0
247105.4818,3488507.824,13.726667,105.461905,0,0.002037,120.337283,31.503781,13.726667,0
247105.4365,3488508.006,13.727143,105.48381,0,0.002034,120.337283,31.503783,13.727143,0
247105.3903,3488508.192,13.727619,105.506191,0,0.002043,120.337282,31.503784,13.727619,0
247105.3448,3488508.373,13.728095,105.528096,0,0.002042,120.337282,31.503786,13.728095,0
247105.2984,3488508.558,13.728571,105.550476,0,0.00205,120.337281,31.503788,13.728571,0
247105.2529,3488508.739,13.729048,105.572381,0,0.002048,120.337281,31.503789,13.729048,0
